	text	label1	label2	label3	filename
784	simlac 2 hmo e net 900 abbott lượng plus kháng lutein nhiên e dha hmo, não sức	abbott	similac iq	similac gain plus iq 2	all_crop_data/abbott/similac_iq/similac_gain_plus_iq_2/0049.jpg
660	similac 1 abbott 400g newborn hmo plus kháng phẩm lutein tịnh dha nhiên 2'-fl giúp dưỡng	abbott	similac 1	similac newborn iq	all_crop_data/abbott/similac_1/similac_newborn_iq/0015.jpg
676	similac 1 đổ kháng hmo total comfort abbott sức net mới tummi 360 g prộ sản phẩm trẻ 0-12 trí	abbott	similac 1	similac total comfort	all_crop_data/abbott/similac_1/similac_total_comfort/0048.jpg
662	po thiển mo similac similac similac similac plus carotenoid vitads (mfg) hướng chuẩn nucleotid pyridoxin kiểm	abbott	similac 1	similac newborn iq	all_crop_data/abbott/similac_1/similac_newborn_iq/0039.jpg
1226	3 equispir bellamy's toddler organic milk ogganic dr	bellamyorganic	organic fomula	bellamys organic toddler milk drink	all_crop_data/bellamyorganic/organic_fomula/bellamys_organic_toddler_milk_drink/0076.jpg
1159	4 equinutri 7 junior organic bellamy's drink milk organic years 3	bellamyorganic	organic fomula	bellamys organic junior milk drink	all_crop_data/bellamyorganic/organic_fomula/bellamys_organic_junior_milk_drink/0030.jpg
1022	2 organic follow-on formula bellamy's 6	bellamyorganic	organic fomula	bellamys organic followon formula	all_crop_data/bellamyorganic/organic_fomula/bellamys_organic_followon_formula/xcxc.jpg
1264	3 lamy's ganic feted my's s iic s orge organic ler drink b b drink org	bellamyorganic	organic fomula	bellamys organic toddler milk drink	all_crop_data/bellamyorganic/organic_fomula/bellamys_organic_toddler_milk_drink/0033.jpg
1326	2 blackmores follow-on formula entle months from 12 australia 6 bros australian milk made in triển nướng oatcodsuspords premium	blackmores	blackmores fomula	blackmores follow-on formula 2	all_crop_data/blackmores/blackmores_fomula/blackmores_follow-on_formula_2/0005.jpg
1322	2 blackmores follow-on formula from months 12 6 orgedic mon 900g mt hơn premium lumin a nueaaa	blackmores	blackmores fomula	blackmores follow-on formula 2	all_crop_data/blackmores/blackmores_fomula/blackmores_follow-on_formula_2/0008.jpg
1398	1 slackmores newborn formula beri beri	blackmores	blackmores fomula	blackmores newborn formula 1	all_crop_data/blackmores/blackmores_fomula/blackmores_newborn_formula_1/0001.jpg
1377	1 blackmore newborn formula mebethu months .con fron bình tò australia 6 tiếi con pregius trên	blackmores	blackmores fomula	blackmores newborn formula 1	all_crop_data/blackmores/blackmores_fomula/blackmores_newborn_formula_1/0026.jpg
1470	3 bởi goản austra todd rinage gặt goat australian 800g made	bubs australia	bubs organic goat milk	bubs organic goat milk toddler drink 3	all_crop_data/bubs_australia/bubs_organic_goat_milk/bubs_organic_goat_milk_toddler_drink_3/0019.jpg
1422	3 bust austrat goát toddl 100g ad	bubs australia	bubs organic goat milk	bubs organic goat milk toddler drink 3	all_crop_data/bubs_australia/bubs_organic_goat_milk/bubs_organic_goat_milk_toddler_drink_3/0067.jpg
1447	3 bubs australian milk goat drink toddler nutritionally gentle naturally gold aus tealian balanc 800g prebiotic 800g	bubs australia	bubs organic goat milk	bubs organic goat milk toddler drink 3	all_crop_data/bubs_australia/bubs_organic_goat_milk/bubs_organic_goat_milk_toddler_drink_3/0025.jpg
1441	3 bubs 12- 36 goat australian milk a2 drink toddler goat gos	bubs australia	bubs organic goat milk	bubs organic goat milk toddler drink 3	all_crop_data/bubs_australia/bubs_organic_goat_milk/bubs_organic_goat_milk_toddler_drink_3/xcvdsf.jpg
1772	aptamil 2 gold+ 1- pronutra+ promuumifo nutricia helps lay months 6-12 foundations for your produch austra progress ipy the & didecsce	danone	aptamil gold	apta gold 2	all_crop_data/danone/aptamil_gold/apta_gold_2/0042.jpg
1691	3 aptamil premilm o	danone	aptamil	aptamil 3	all_crop_data/danone/aptamil/aptamil_3/0022.jpg
1858	nutricio nutrione nutrinion aptamil oriffrs orink nutri nutri lược rikks on tripn hungry milk 1 unique	danone	aptamil hungry bb	aptamil hungry bb milk formula	all_crop_data/danone/aptamil_hungry_bb/aptamil_hungry_bb_milk_formula/0015.jpg
1674	3 aptamil proces advance pronutra công system daaty our support immune vitamin milk normal function unique	danone	aptamil	aptamil 3	all_crop_data/danone/aptamil/aptamil_3/0058.jpg
1912	gold bội sữa	f99foods	sua	sua non goldilac grow cho tre 0-10 tuoi	all_crop_data/f99foods/sua/sua_non_goldilac_grow_cho_tre_0-10_tuoi/0045.jpg
1887	goldilac 4 grow tổ yến sữa dưỡng uuyệt non cho diện của trẻ nguồn triển toàn sự phát cho klt của solmulas sua.ung	f99foods	sua	sua non goldilac grow cho tre 0-10 tuoi	all_crop_data/f99foods/sua/sua_non_goldilac_grow_cho_tre_0-10_tuoi/0040.jpg
1916	goldilac grow tổ yến sữa non igg usa sức yếu trẻ của diện triển cho cho	f99foods	sua	sua non goldilac grow cho tre 0-10 tuoi	all_crop_data/f99foods/sua/sua_non_goldilac_grow_cho_tre_0-10_tuoi/0050.jpg
1937	goldilac grow sữa yến tổ non igg yêu usa klt cho nguồn dưỡng việt con sức	f99foods	sua	sua non goldilac grow cho tre 0-10 tuoi	all_crop_data/f99foods/sua/sua_non_goldilac_grow_cho_tre_0-10_tuoi/0085.jpg
2057	tò mò tò 1	friesland campina dutch lady	dutch baby	dutch baby to mo gold	all_crop_data/friesland_campina_dutch_lady/dutch_baby/dutch_baby_to_mo_gold/sdfsd.jpg
2055	mò tò gold lady dutch chất xơ dha nutri gold com on for inagite	friesland campina dutch lady	dutch baby	dutch baby to mo gold	all_crop_data/friesland_campina_dutch_lady/dutch_baby/dutch_baby_to_mo_gold/0009.jpg
2209	2 friso gold	friesland campina dutch lady	friso	frisolac gold 2	all_crop_data/friesland_campina_dutch_lady/friso/frisolac_gold_2/0037.jpg
2134	frisolac 1 gold sản tuổi phẩm thur công cho dưỡng tháng từ 0 ha dinh trẻ gold	friesland campina dutch lady	friso	frisolac gold 1	all_crop_data/friesland_campina_dutch_lady/friso/frisolac_gold_1/0073.jpg
2792	organic b oạt wheat taby mo gerben	gerber	other	other	all_crop_data/gerber/other/gerber_other_051.jpg
2583	m, 3 calories facio 6 contahd ca (159g nu cup i sữe	gerber	other	other	all_crop_data/gerber/other/gerber_other_021.jpg
2617	probiotic & oatmeal dha gerber tron	gerber	other	other	all_crop_data/gerber/other/gerber_other_040.jpg
2413	multigrain gerber ge iron	gerber	bot an dam	bot an dam gerber ngu coc multigrain cereal	all_crop_data/gerber/bot_an_dam/bot_an_dam_gerber_ngu_coc_multigrain_cereal/0020.jpg
2834	p thứng infasto icreo	glico	hop giay	glico icreo so 0 hop giay	all_crop_data/glico/hop_giay/glico_icreo_so_0_hop_giay/0026.jpg
2836	of zza 0 27 420	glico	hop giay	glico icreo so 0 hop giay	all_crop_data/glico/hop_giay/glico_icreo_so_0_hop_giay/0004.jpg
2874	sodzi outuri o nutreiti n trẻ từ	glico	hop nhom	glico icreo so 0	all_crop_data/glico/hop_nhom/glico_icreo_so_0/0008.jpg
2859	frigor 7,0-7.7 12 icreo patet	glico	hop giay	glico icreo so 1 hop giay	all_crop_data/glico/hop_giay/glico_icreo_so_1_hop_giay/0023.jpg
3536	donh so months months optipro australia wiahthu liệ khu norbahtis 333 reg company heinz sàng 633 heinz australia 1	heinz	other	other	all_crop_data/heinz/other/heinz_other_047.jpg
3284	a	heinz	other	other	all_crop_data/heinz/other/heinz_other_170.jpg
3083	heinz fruit multigrain summer 12 900 the + stuff sott farley's pieces key minerals vitamins baby's	heinz	bot an dam	bot an dam trai cay heinz	all_crop_data/heinz/bot_an_dam/bot_an_dam_trai_cay_heinz/0073.jpg
3476	heinz steps first 7	heinz	other	other	all_crop_data/heinz/other/heinz_other_1709.jpg
4800	hipp 4 nighul good	hipp	other	other	all_crop_data/hipp/other/hipp_other_0502.jpg
4628	1 hipp combiotic organic	hipp	organic combiotic	organic combiotic infant milk 1	all_crop_data/hipp/organic_combiotic/organic_combiotic_infant_milk_1/0020.jpg
4745		hipp	other	other	all_crop_data/hipp/other/hipp_other_133.jpg
4088	hipp organic 4 peach banana cereal milk	hipp	bot an dam	bot an dam 4	all_crop_data/hipp/bot_an_dam/bot_an_dam_4/70.jpg
5335	2 humana pootong 800g	humana uc	humana gold	humana gold follow-up formula 2	all_crop_data/humana_uc/humana_gold/humana_gold_follow-up_formula_2/0061.jpg
5332	humana 2 research prenciece proven german 800g more follow-up folgenahrung years and formula gold vitamin d lc-pufa	humana uc	humana gold	humana gold follow-up formula 2	all_crop_data/humana_uc/humana_gold/humana_gold_follow-up_formula_2/0000.jpg
5359	3 humana growing-up 800g form	humana uc	humana gold	humana gold growing up formula 3	all_crop_data/humana_uc/humana_gold/humana_gold_growing_up_formula_3/0025.jpg
5384	humana 1	humana uc	humana gold	humana gold infant formula 1	all_crop_data/humana_uc/humana_gold/humana_gold_infant_formula_1/0024.jpg
5805	enspire formula infant 20.5 0z (1.28 non-gmo enfamil closest 0-12 months breast milk powder 581 lb our with	mead johnson	enspire	enfamil enspire infant formula	all_crop_data/mead_johnson/enspire/enfamil_enspire_infant_formula/0032.jpg
5816	ensurer ensture infant milk-based meadjohnson 1 vienfamil enfamil meadjohnson p months months 0-12 0-12	mead johnson	enspire	enfamil enspire infant formula	all_crop_data/mead_johnson/enspire/enfamil_enspire_infant_formula/0094.jpg
6142	a enfamil a 1 meadjohnson a2 pro neuro hấp giúp protein lượng protein thu hóa chứa 360	mead johnson	neuro pro	enfa grow a ii neuro pro	all_crop_data/mead_johnson/neuro_pro/enfa_grow_a_ii_neuro_pro/0002.jpg
5625	a+ enfagrow 3 (3x600g) 1800g 1 kemasan pertumbuhan new hemat bersih berat a+ susu formula 1	mead johnson	enfa mil grow a+	enfa grow 3 a+	all_crop_data/mead_johnson/enfa_mil_grow_A+/enfa_grow_3_a+/0053.jpg
6663	form mbp	megmilksnowbrand	mbp	thuc pham bo sung guun up mbp	all_crop_data/megmilksnowbrand/mbp/thuc_pham_bo_sung_guun_up_mbp/0041.jpg
6656	từ 2-tu mbp	megmilksnowbrand	mbp	thuc pham bo sung guun up mbp	all_crop_data/megmilksnowbrand/mbp/thuc_pham_bo_sung_guun_up_mbp/0004.jpg
6682	m m	megmilksnowbrand	mbp	thuc pham bo sung guun up mbp	all_crop_data/megmilksnowbrand/mbp/thuc_pham_bo_sung_guun_up_mbp/0015.jpg
6658	dha mbp	megmilksnowbrand	mbp	thuc pham bo sung guun up mbp	all_crop_data/megmilksnowbrand/mbp/thuc_pham_bo_sung_guun_up_mbp/0023.jpg
7047	eiji meiji milk milk	meiji	other	other	all_crop_data/meiji/other/meiji_other_0173.jpg
6842	3 36 bột x v*207 fos 490kg 220g 1207 1~3 1 meiji 5 tp zn1 jrifon 60 4 (5 h 100% ngma	meiji	meiji noi dia	meiji noi dia dang thanh so 3,9	all_crop_data/meiji/meiji_noi_dia/meiji_noi_dia_dang_thanh_so_3,9/74.jpg
6694	meiji ezcube 3 1	meiji	ezcube	ezcube growing up formula	all_crop_data/meiji/ezcube/ezcube_growing_up_formula/0008.jpg
6843	bột 27 36 tr va 1~3 1 tris ad 23g 24 x 2z 22 6 2438.12 truystofrefale 1400 meiji mặ) 100% & trẻ 80 8016 thìa 114 gro dha 70% tutustre	meiji	meiji noi dia	meiji noi dia dang thanh so 3,9	all_crop_data/meiji/meiji_noi_dia/meiji_noi_dia_dang_thanh_so_3,9/6.jpg
7465	bé thán ste đẹ tup 0& từ mg made từ 5 3 japan in v/6/2017	morigana	other	other	all_crop_data/morigana/other/morigana_other_0807.jpg
7229	3 rong	morigana	morigana kodomil	morigana so 3 kodomil	all_crop_data/morigana/morigana_kodomil/morigana_so_3_kodomil/0022.jpg
7201	3 iro	morigana	morigana kodomil	morigana so 3 kodomil	all_crop_data/morigana/morigana_kodomil/morigana_so_3_kodomil/0021.jpg
7326	0 milk tea eddath woth14 4 7trt 7 + 27 9 fers knu ox tomilat morinaga 9727 sản	morigana	other	other	all_crop_data/morigana/other/morigana_other_072.jpg
7714	olalares gl) xo	namyang	other	other	all_crop_data/namyang/other/namyang_other_0472.jpg
7669	3 olal)eolec xo world 0-06 + 6 20mg class omyang imperial tặt tr e farlu 900g phifex xo tuýc dre koffo 2ị 36 cị  optemin	namyang	imperial dream	xo3 imperial dream	all_crop_data/namyang/imperial_dream/xo3_imperial_dream/0009.jpg
7730	ojtic/od o ph	namyang	other	other	all_crop_data/namyang/other/namyang_other_044.jpg
7695	olalledoldge 4 go	namyang	imperial dream	xo4 imperial dream	all_crop_data/namyang/imperial_dream/xo4_imperial_dream/0017.jpg
8588	nan 4 mo pro opti 1 nestle yohtal vượng tịnh: swiss vinarsu i*) dynaca cháng/chến kháng 2-6 premium formula tăng	nestle	nan optipro	nan optipro 4	all_crop_data/nestle/nan_optipro/nan_optipro_4/0024.jpg
9028	102 nan kháng sỹ thu* vitamin thụy canxi nestle o không chiều cao tư vấn công pro	nestle	other	other	all_crop_data/nestle/other/nestle_other_179.jpg
8962		nestle	other	other	all_crop_data/nestle/other/nestle_other_152.jpg
8777	mom & qu nestle & 350g gtect 8, vanilla probiotics dành bifidus mang phụ sung huẩn thai	nestle	other	other	all_crop_data/nestle/other/nestle_other_171.jpg
9068	1 lượng công	no brand	sub no brand	no brand images	all_crop_data/no_brand/sub_no_brand/no_brand_images/jANIVJT8R9OiV1M8Aqoh2.jpg
9062	1 mole	no brand	sub no brand	no brand images	all_crop_data/no_brand/sub_no_brand/no_brand_images/images - 2021-07-26T142100.656.jpg
9055	vitamin a quà b,ckd hợp mận tầy tông làng kém omega 3ialao lot canxi	no brand	sub no brand	no brand images	all_crop_data/no_brand/sub_no_brand/no_brand_images/images - 2021-07-26T143456.552.jpg
9065	ddrops baby d vitamam	no brand	sub no brand	no brand images	all_crop_data/no_brand/sub_no_brand/no_brand_images/tra-wakado-5-thang22.jpg
9349	pluc+ grow nutifood premium quality 900 dưỡng tuổi dành chế chậm dinh dưỡng tăng cân dinh đặc	nutifood	growplus	growplus cam	all_crop_data/nutifood/growplus/growplus_cam/0022.jpg
10252	riso gold opti 3 nutifood opti dưỡng khỏe dưỡng từ 1-2 ngân ngua dinh tuổi hóa dinh công	nutifood	riso opti gold	riso opti gold 3	all_crop_data/nutifood/riso_opti_gold/riso_opti_gold_3/0000.jpg
9745	nutiiq 4 milk sản phẩm dinh dưỡng cho sữa bột phẩn trở trợi furifood complex phát irt triển chác	nutifood	nuti gold iq	nuti iq gold 4	all_crop_data/nutifood/nuti_gold_iq/nuti_iq_gold_4/0032.jpg
9895	nete	nutifood	other	other	all_crop_data/nutifood/other/nutifood_other_0132.jpg
10937	a	nutricare	other	other	all_crop_data/nutricare/other/nutricare_other_163.jpg
10453	1 metacare ricar 900g tháng hỗ trợ phát triển 0-6 tốt cho não bộ não bộ grow total dịch tuổi dưỡng lớn khỏe	nutricare	meta care	metacare 1	all_crop_data/nutricare/meta_care/metacare_1/0039.jpg
10388	100 golld care	nutricare	care 100	care 100 gold	all_crop_data/nutricare/care_100/care_100_gold/0052.jpg
10606	metacare 4 tổ trợ phát khỏe mạnh tuổi mild bộ 1-6 nhập cao triển cao lớng não tơn	nutricare	meta care	meta care 4	all_crop_data/nutricare/meta_care/meta_care_4/0065.jpg
11210	3-17 5 pigeon sả hó	pigeon	bot an dam pigeon	bot an dam pigeon nhat vi ngo	all_crop_data/pigeon/bot_an_dam_pigeon/bot_an_dam_pigeon_nhat_vi_ngo/0033.jpg
11136	1+ 77217 7 otrinite pigeon 6 ne-3-+ d533 0.000g	pigeon	bot an dam pigeon	bot an dam pigeon 7	all_crop_data/pigeon/bot_an_dam_pigeon/bot_an_dam_pigeon_7/0027.jpg
11168	3-1 12 7 5 votigo pigeon	pigeon	bot an dam pigeon	bot an dam pigeon nhat vi ngo	all_crop_data/pigeon/bot_an_dam_pigeon/bot_an_dam_pigeon_nhat_vi_ngo/0044.jpg
11140	7 sithan: pre pigeon totrition 6aa es3a net-3-fp 2979 láng	pigeon	bot an dam pigeon	bot an dam pigeon 7	all_crop_data/pigeon/bot_an_dam_pigeon/bot_an_dam_pigeon_7/0041.jpg
11249	lactoferri 400g milk formula	royal ausnz	lactoferrin	sua royal ausnz lactoferrin formula milk powder	all_crop_data/royal_ausnz/lactoferrin/sua_royal_ausnz_lactoferrin_formula_milk_powder/0015.jpg
11395	cream full 900g enriched instant net aod vitamin with powder milk ausnz roya	royal ausnz	other	other	all_crop_data/royal_ausnz/other/royal_other_124.jpg
11288	kiru formula	royal ausnz	other	other	all_crop_data/royal_ausnz/other/royal_other_063.jpg
11471	2 goat follow 6	royal ausnz	sua de hoang gia uc royal ausnz goat	sua de hoang gia uc royal ausnz goat follow-on formula 2	all_crop_data/royal_ausnz/sua_de_hoang_gia_uc_royal_ausnz_goat/sua_de_hoang_gia_uc_royal_ausnz_goat_follow-on_formula_2/0018.jpg
12372	optimum 4 gold hmo dha	vinamilk	optimum gold	optimum gold 4	all_crop_data/vinamilk/optimum_gold/optimum_gold_4/0010.jpg
11826	ri ridielac mới bông cải cá xanh hồi 7-24 ngon chóng cho 7 lớn bé dha-lutein	vinamilk	bot an dam	bot an dam ridielac gold ca hoi bong cai xanh	all_crop_data/vinamilk/bot_an_dam/bot_an_dam_ridielac_gold_ca_hoi_bong_cai_xanh/0043.jpg
11936	iq alpha 1 gold dielac não trợ triển formula dha phẩm hỗ từ 0 tháng phát lutein	vinamilk	dielac alpha gold iq	dielac alpha gold iq 1	all_crop_data/vinamilk/dielac_alpha_gold_iq/dielac_alpha_gold_iq_1/0001.jpg
13440	yoko 3 d w-3-1k gold premium dưỡng/ dha from 2 - 6 years hàm dinh growing 100% b tuổi taurin powder vịe tho trẻ tảo	vinamilk	yoko	yoko gold 3	all_crop_data/vinamilk/yoko/yoko_gold_3/0021.jpg
14360	cotosbab mum ovenca ymaly	vitadairy	other	other	all_crop_data/vitadairy/other/vitadairy_other_0035.jpg
14268	ogg mam mum vitadairy khỏe nanh	vitadairy	other	other	all_crop_data/vitadairy/other/vitadairy_other_0052.jpg
13604	colosbaby sữa non tachiếp	vitadairy	other	other	all_crop_data/vitadairy/other/vitadairy_other_151.jpg
13959	goatlac dairy 6óat 2 months 800 12 restu khối lượng follow on formula lo goat based g 6	vitadairy	other	other	all_crop_data/vitadairy/other/vitadairy_other_164.jpg
15470		wakodo	other	other	all_crop_data/wakodo/other/wakodo_other_109.jpg
15020	fạn	wakodo	other	other	all_crop_data/wakodo/other/wakodo_other_04148.jpg
15741	5	wakodo	other	other	all_crop_data/wakodo/other/wakodo_other_1676.jpg
15567	5 ffeigetiffo ed fc14 wokodo	wakodo	other	other	all_crop_data/wakodo/other/wakodo_other_0058.jpg
